,Sex,Housing,Saving accounts,Credit amount,Risk
0,male,own,NA,1169,good
1,female,own,little,5951,bad
2,male,own,little,2096,good
3,male,free,little,7882,good
4,male,free,little,4870,bad
5,male,free,NA,9055,good
6,male,own,quite rich,2835,good
7,male,rent,little,6948,good
8,male,own,rich,3059,good
9,male,own,little,5234,bad
10,female,rent,little,1295,bad
11,female,rent,little,4308,bad
12,female,own,little,1567,good
13,male,own,little,1199,bad
14,female,rent,little,1403,good
15,female,own,moderate,1282,bad
16,male,own,NA,2424,good
17,male,own,NA,8072,good
18,female,free,little,12579,bad
19,male,own,quite rich,3430,good
20,male,own,little,2134,good
21,male,rent,quite rich,2647,good
22,male,rent,little,2241,good
23,male,own,moderate,1804,good
24,male,own,NA,2069,good
25,male,own,little,1374,good
26,male,own,little,426,good
27,female,rent,rich,409,good
28,male,own,little,2415,good
29,male,own,little,6836,bad
30,male,own,rich,1913,good
31,male,own,little,4020,good
32,male,own,moderate,5866,good
33,male,rent,NA,1264,good
34,female,own,little,1474,good
35,male,own,little,4746,bad
36,male,free,little,6110,good
37,male,own,little,2100,bad
38,male,own,little,1225,good
39,male,own,little,458,good
40,male,own,quite rich,2333,good
41,male,own,quite rich,1158,good
42,male,own,little,6204,good
43,male,rent,moderate,6187,good
44,female,free,little,6143,bad
45,female,own,little,1393,good
46,male,own,quite rich,2299,good
47,female,rent,quite rich,1352,good
48,male,own,little,7228,good
49,female,own,moderate,2073,good
50,male,own,NA,2333,good
51,male,own,little,5965,good
52,male,own,little,1262,good
53,male,own,NA,3378,good
54,male,free,little,2225,bad
55,male,own,NA,783,good
56,male,own,NA,6468,bad
57,female,own,little,9566,good
58,female,own,little,1961,good
59,female,rent,little,6229,bad
60,male,own,little,1391,good
61,male,own,NA,1537,good
62,male,free,little,1953,bad
63,male,own,little,14421,bad
64,female,own,little,3181,good
65,male,own,NA,5190,good
66,female,own,little,2171,good
67,male,own,rich,1007,good
68,male,free,little,1819,bad
69,female,own,NA,2394,good
70,female,own,little,8133,good
71,male,rent,NA,730,good
72,male,free,little,1164,good
73,female,own,little,5954,good
74,male,own,NA,1977,bad
75,male,free,little,1526,good
76,male,own,little,3965,bad
77,male,own,little,4771,good
78,male,own,NA,9436,good
79,male,own,little,3832,good
80,female,own,NA,5943,bad
81,male,own,quite rich,1213,good
82,female,rent,moderate,1568,good
83,female,own,little,1755,good
84,male,own,little,2315,good
85,female,own,little,1412,good
